timestamp=03-12-2014_01-00-00

#####
TYPE=air_humidity
DATA:28
	val,timestamp,lng,lat,csv_id
	74.6,2014-12-03 00:30:08,(121.05226999999999, 14.489660000000001),METRO_MANILA-DOST_BICUTAN-VAISALA
	62.0,2014-12-03 00:30:08,(119.968, 15.327),ZAMBALES-PAGASA_IBA_STATION-VAISALA
	84.6,2014-12-03 01:00:08,(123.43688899999999, 13.2995),ALBAY-LIBON-VAISALA
	83.1,2014-12-03 00:15:09,(123.68005599999999, 13.456861),ALBAY-SAN_RAFAEL_ST.-VAISALA
	68.4,2014-12-03 00:45:08,(121.37649999999999, 15.4077),AURORA-DINGALAN_CENTRAL_SCHOOL-VAISALA
	70.3,2014-12-03 00:15:09,(120.249, 11.864000000000001),PALAWAN-CORON-VAISALA
	80.8,2014-12-03 00:45:08,(123.41116700000001, 10.877722),NEGROS_OCCIDENTAL-NEW_GOVERNMENT_CENTER-VAISALA
	82.1,2014-12-03 00:30:09,(122.3676, 11.697217),AKLAN-KALIBO_CAPITOL_PLAZA-VAISALA
	84.3,2014-12-03 00:00:09,(125.655, 7.1279000000000003),DAVAO_CITY-PAGASA_DAVAO_OFFICE-VAISALA
	67.4,2014-12-03 00:00:08,(122.320283, 10.660233),ILOILO-PORT_AREA-VAISALA
	0.0,2014-12-03 00:15:08,(123.486, 8.0967000000000002),ZAMBOANGA_DEL_SUR-DIPOLO-VAISALA
	81.5,2014-12-03 02:00:06,(122.5793, 10.772266999999999),ILOILO-JARO-VAISALA
	80.9,2014-12-03 00:30:09,(125.097478, 6.0554249999999996),GENERAL_SANTOS_CITY-GENERAL_SANTOS_AIRPORT-VAISALA
	4.7,2014-12-03 00:00:08,(126.01673, 9.8903999999999996),SURIGAO_DEL_NORTE-SIARGAO_ISLAND-VAISALA
	85.0,2014-12-03 00:30:09,(123.34657319999999, 8.5838991999999994),ZAMBOANGA_DEL_NORTE-CITY_AGRICULTURE_OFFICE-VAISALA
