timestamp=29-12-2014_14-20-00

#####
TYPE=air_humidity
DATA:25
	val,timestamp,lng,lat,csv_id
	60.5,2014-12-29 14:00:08,(119.517, 11.272),PALAWAN-JTFM_VILLA_LIBERTAD-VAISALA
	52.1,2014-12-29 14:00:08,(119.968, 15.327),ZAMBALES-PAGASA_IBA_STATION-VAISALA
	67.5,2014-12-29 14:30:08,(123.43722, 13.29946),ALBAY-LIBON-VAISALA
	66.4,2014-12-29 13:45:09,(123.68005599999999, 13.456861),ALBAY-SAN_RAFAEL_ST.-VAISALA
	58.4,2014-12-29 14:00:09,(121.37644400000001, 15.407667),AURORA-DINGALAN_CENTRAL_SCHOOL-VAISALA
	51.1,2014-12-29 13:45:08,(120.249, 11.864000000000001),PALAWAN-CORON-VAISALA
	90.2,2014-12-29 14:15:09,(123.403116, 10.869745),NEGROS_OCCIDENTAL-NEW_GOVERNMENT_CENTER-VAISALA
	64.3,2014-12-29 14:00:08,(122.366907, 11.687175999999999),AKLAN-KALIBO_CAPITOL_PLAZA-VAISALA
	66.5,2014-12-29 14:00:09,(121.9564, 16.145299999999999),AURORA-DINALUNGAN_NATIONAL_HIGH_SCHOOL-VAISALA
	58.7,2014-12-29 14:00:08,(122.320283, 10.660233),ILOILO-PORT_AREA-VAISALA
	0.0,2014-12-29 14:00:08,(123.486, 8.0967000000000002),ZAMBOANGA_DEL_SUR-DIPOLO-VAISALA
	78.3,2014-12-29 15:30:05,(122.5793, 10.772266999999999),ILOILO-JARO-VAISALA
	87.4,2014-12-29 14:00:08,(123.34657319999999, 8.5838991999999994),ZAMBOANGA_DEL_NORTE-CITY_AGRICULTURE_OFFICE-VAISALA
	80.7,2014-12-29 14:00:08,(121.923, 7.008),ZAMBOANGA_CITY-WMSU_COMPOUND-VAISALA
	63.4,2014-12-29 14:00:08,(122.33888899999999, 14.696847),QUEZON-BRGY._TALISOY-VAISALA
	72.8,2014-12-29 14:30:08,(124.235167, 7.196167),COTABATO-PEOPLE%27S_PALACE_GROUNDS-VAISALA
	88.3,2014-12-29 14:30:08,(124.88436, 11.775138999999999),SAMAR-PAGASA_CATBALOGAN_STATION-VAISALA
	58.1,2014-12-29 14:00:08,(120.473583, 17.369889000000001),ILOCOS_SUR-ISPSC-VAISALA
	89.0,2014-12-29 14:15:02,(122.97199999999999, 10.589),NEGROS_OCCIDENTAL-FELISA-VAISALA
	77.5,2014-12-29 14:15:09,(123.98, 10.3223),CEBU-PAGASA_MACTAN_STATION-VAISALA
	86.7,2014-12-29 14:00:08,(123.433944, 10.502865999999999),NEGROS_OCCIDENTAL-BRGY._PUNAO-VAISALA
	69.9,2014-12-29 14:00:08,(121.901606, 11.868384000000001),AKLAN-KABULIHAN_SANITARY_LANDFILL%2c_BRGY._KABULIHAN-VAISALA
	65.2,2014-12-29 13:45:08,(123.335477, 13.803934999999999),CAMARINES_SUR-PARTIDO_STATE_UNIVERSITY_TINAMBAC-VAISALA
	87.9,2014-12-29 14:00:08,(125.02497200000001, 11.225417),LEYTE-PAGASA_TACLOBAN_STATION-VAISALA
	78.7,2014-12-29 15:00:08,(123.01853199999999, 11.169036999999999),ILOILO-URBAN_CENTER_POBLACION-VAISALA

#####
TYPE=rain_value
DATA:449
	val,timestamp,lng,lat,csv_id
	0.2,2014-12-29 14:15:06,(125.7514, 8.7129999999999992),AGUSAN_DEL_SUR-BAYUGAN_CITY_HALL-RAIN2
	0.0,2014-12-29 14:15:06,(121.27986, 17.10895),MOUNTAIN_PROVINCE-NATONIN-RAIN2
	0.0,2014-12-29 14:15:07,(125.508039, 7.0812429999999997),DAVAO_ORIENTAL-PSHS-SMC_2-RAIN2
	0.0,2014-12-29 14:15:06,(126.448292, 7.7910300000000001),DAVAO_ORIENTAL-CATEEL-RAIN2
	0.0,2014-12-29 14:15:07,(121.487043, 16.922825),IFUGAO-ALFONSO_LISTA-RAIN2
	6.2,2014-12-29 14:15:07,(125.40161999999999, 9.6185600000000004),SURIGAO_DEL_NORTE-MALIMONO-RAIN2
	3.88,2014-12-29 14:15:09,(123.403116, 10.869745),NEGROS_OCCIDENTAL-NEW_GOVERNMENT_CENTER-VAISALA
	5.0,2014-12-29 14:15:10,(124.234542, 8.2298819999999999),LANAO_DEL_NORTE-ABUNO-RAIN2
	1.6,2014-12-29 14:00:06,(124.894829, 7.8107350000000002),BUKIDNON-KUYA-RAIN2
	0.0,2014-12-29 14:30:07,(121.737222, 17.752222),CAGAYAN-IGUIG_MUNICIPAL_HALL-RAIN2
	0.0,2014-12-29 14:15:07,(124.537859, 11.655725),BILIRAN-CULABA_MUNICIPAL_GROUND-RAIN2
	0.0,2014-12-29 14:15:07,(121.0403, 14.58136),METRO_MANILA-NATIONAL_CENTER_FOR_MENTAL_HEALTH-RAIN2
	0.0,2014-12-29 14:30:07,(120.82207, 16.996120000000001),MOUNTAIN_PROVINCE-TADIAN-RAIN2
	0.0,2014-12-29 14:15:07,(125.47019899999999, 6.5553129999999999),DAVAO_DEL_SUR-STA.MARIA_MUNICIPAL_HALL-RAIN2
	0.2,2014-12-29 13:31:06,(123.648139, 9.2752809999999997),SIQUIJOR-POBLACION%2c_ENRIQUE_VILLANUEVA-RAIN2
	2.0,2014-12-29 14:15:09,(124.84694399999999, 11.206944),LEYTE-MUNICIPAL_GROUNDS_ALANG-ALANG-RAIN2
	2.0,2014-12-29 14:15:11,(123.0468, 10.89254),NEGROS_OCCIDENTAL-VICTORIAS_CITY_COLISEUM-RAIN2
	0.0,2014-12-29 14:00:08,(120.473583, 17.369889000000001),ILOCOS_SUR-ISPSC-VAISALA
