timestamp=17-12-2014_22-00-00

#####
TYPE=air_humidity
DATA:27
	val,timestamp,lng,lat,csv_id
	70.1,2014-12-17 21:45:08,(119.517, 11.272),PALAWAN-JTFM_VILLA_LIBERTAD-VAISALA
	62.0,2014-12-17 22:00:09,(121.05226999999999, 14.489660000000001),METRO_MANILA-DOST_BICUTAN-VAISALA
	54.6,2014-12-17 21:45:09,(119.968, 15.327),ZAMBALES-PAGASA_IBA_STATION-VAISALA
	69.9,2014-12-17 22:15:08,(123.43688899999999, 13.2995),ALBAY-LIBON-VAISALA
	77.4,2014-12-17 21:45:09,(123.68005599999999, 13.456861),ALBAY-SAN_RAFAEL_ST.-VAISALA
	83.1,2014-12-17 21:00:11,(119.91670000000001, 8.9167000000000005),PALAWAN-RANGER_STATION%2c_TUBBATAHA_REEF-VAISALA
	82.7,2014-12-17 21:30:08,(123.700389, 13.884499999999999),CAMARINES_SUR-GARCHITORENA_MUNICIPAL_GROUNDS-VAISALA
	54.7,2014-12-17 22:00:09,(121.37649999999999, 15.4077),AURORA-DINGALAN_CENTRAL_SCHOOL-VAISALA
	72.1,2014-12-17 21:30:08,(120.249, 11.864000000000001),PALAWAN-CORON-VAISALA
	91.5,2014-12-17 22:00:09,(123.41116700000001, 10.877722),NEGROS_OCCIDENTAL-NEW_GOVERNMENT_CENTER-VAISALA
	77.4,2014-12-17 22:00:09,(122.3676, 11.697217),AKLAN-KALIBO_CAPITOL_PLAZA-VAISALA
	85.2,2014-12-17 21:45:09,(121.9534, 16.140000000000001),AURORA-DINALUNGAN_NATIONAL_HIGH_SCHOOL-VAISALA
	74.2,2014-12-17 21:45:08,(122.320283, 10.660233),ILOILO-PORT_AREA-VAISALA
	86.9,2014-12-17 21:30:08,(125.655, 7.1279000000000003),DAVAO_CITY-PAGASA_DAVAO_OFFICE-VAISALA
	88.1,2014-12-17 21:45:08,(125.097478, 6.0554249999999996),GENERAL_SANTOS_CITY-GENERAL_SANTOS_AIRPORT-VAISALA
	82.9,2014-12-17 21:45:08,(121.923, 7.008),ZAMBOANGA_CITY-WMSU_COMPOUND-VAISALA
	84.4,2014-12-17 21:00:08,(121.59656699999999, 14.168583),QUEZON-BRGY._LITA-VAISALA
	83.6,2014-12-17 23:15:05,(122.5793, 10.772266999999999),ILOILO-JARO-VAISALA
	83.6,2014-12-17 21:45:09,(122.33888899999999, 14.696847),QUEZON-BRGY._TALISOY-VAISALA
	80.9,2014-12-17 22:00:02,(122.97199999999999, 10.589),NEGROS_OCCIDENTAL-FELISA-VAISALA
	54.7,2014-12-17 22:00:08,(120.47505, 17.368200000000002),ILOCOS_SUR-ISPSC-VAISALA
	81.2,2014-12-17 22:00:08,(124.235167, 7.196167),COTABATO-PEOPLE%27S_PALACE_GROUNDS-VAISALA
	80.9,2014-12-17 22:00:09,(123.980222, 10.322383),CEBU-PAGASA_MACTAN_STATION-VAISALA
	87.0,2014-12-17 21:45:09,(123.43558299999999, 10.510249999999999),NEGROS_OCCIDENTAL-BRGY._PUNAO-VAISALA
	96.4,2014-12-17 21:45:09,(121.905817, 11.872883),AKLAN-KABULIHAN_SANITARY_LANDFILL%2c_BRGY._KABULIHAN-VAISALA
	79.5,2014-12-17 22:00:08,(125.02497200000001, 11.225417),LEYTE-PAGASA_TACLOBAN_STATION-VAISALA
	77.3,2014-12-17 22:45:08,(123.02336099999999, 11.175167),ILOILO-URBAN_CENTER_POBLACION-VAISALA

#####
TYPE=rain_value
DATA:449
	val,timestamp,lng,lat,csv_id
	0.0,2014-12-17 22:15:06,(125.7514, 8.7129999999999992),AGUSAN_DEL_SUR-BAYUGAN_CITY_HALL-RAIN2
	0.0,2014-12-17 22:00:06,(126.448292, 7.7910300000000001),DAVAO_ORIENTAL-CATEEL-RAIN2
	0.0,2014-12-17 22:00:06,(121.487043, 16.922825),IFUGAO-ALFONSO_LISTA-RAIN2
