timestamp=30-12-2014_11-50-00

#####
TYPE=air_humidity
DATA:21
	val,timestamp,lng,lat,csv_id
	77.3,2014-12-30 11:15:08,(119.517, 11.272),PALAWAN-JTFM_VILLA_LIBERTAD-VAISALA
	72.7,2014-12-30 11:00:08,(120.249, 11.864000000000001),PALAWAN-CORON-VAISALA
	70.3,2014-12-30 11:30:09,(123.98, 10.3223),CEBU-PAGASA_MACTAN_STATION-VAISALA
	75.8,2014-12-30 11:30:09,(123.433944, 10.502865999999999),NEGROS_OCCIDENTAL-BRGY._PUNAO-VAISALA
	69.9,2014-12-30 11:30:09,(121.05226999999999, 14.489660000000001),METRO_MANILA-DOST_BICUTAN-VAISALA
	74.2,2014-12-30 11:00:31,(125.636532, 5.9034490000000002),DAVAO_DEL_SUR-JOSE_ABAD_SANTOS-VAISALA
	94.7,2014-12-30 11:30:08,(121.901606, 11.868384000000001),AKLAN-KABULIHAN_SANITARY_LANDFILL%2c_BRGY._KABULIHAN-VAISALA
	87.2,2014-12-30 12:45:06,(122.5793, 10.772266999999999),ILOILO-JARO-VAISALA
	49.9,2014-12-30 11:30:09,(119.968, 15.327),ZAMBALES-PAGASA_IBA_STATION-VAISALA
	72.9,2014-12-30 11:15:09,(121.9564, 16.145299999999999),AURORA-DINALUNGAN_NATIONAL_HIGH_SCHOOL-VAISALA
	81.8,2014-12-30 11:00:08,(122.320283, 10.660233),ILOILO-PORT_AREA-VAISALA
	72.8,2014-12-30 11:15:08,(122.33888899999999, 14.696847),QUEZON-BRGY._TALISOY-VAISALA
	69.9,2014-12-30 11:30:03,(122.97199999999999, 10.589),NEGROS_OCCIDENTAL-FELISA-VAISALA
	0.0,2014-12-30 11:15:09,(123.486, 8.0967000000000002),ZAMBOANGA_DEL_SUR-DIPOLO-VAISALA
	80.9,2014-12-30 12:15:08,(123.01853199999999, 11.169036999999999),ILOILO-URBAN_CENTER_POBLACION-VAISALA
	81.6,2014-12-30 11:30:09,(125.097444, 6.0553330000000001),GENERAL_SANTOS_CITY-GENERAL_SANTOS_AIRPORT-VAISALA
	91.9,2014-12-30 11:45:08,(124.88436, 11.775138999999999),SAMAR-PAGASA_CATBALOGAN_STATION-VAISALA
	81.8,2014-12-30 11:00:11,(123.71991199999999, 13.150175000000001),PALAWAN-RANGER_STATION%2c_TUBBATAHA_REEF-VAISALA
	60.6,2014-12-30 11:30:08,(121.923, 7.008),ZAMBOANGA_CITY-WMSU_COMPOUND-VAISALA
	87.2,2014-12-30 11:30:08,(123.34657319999999, 8.5838991999999994),ZAMBOANGA_DEL_NORTE-CITY_AGRICULTURE_OFFICE-VAISALA
